id,Workplaces,College,School,Places,Gender
2,works at esquel group,no_college,no_school,bien hoa angiang an giang vietnam,notknown
3,long xuyen,quan tri mang truong trung cap cong nghe bach khoa thanh pho ho chi minh,no_school,long xuyen long xuyen,notknown
4,no_workplaces,no_college,no_school,thanh hoa thanh hoa,male
5,works at binh duong viet nammay 16 2020 present,no_college,no_school,tan chau,female
6,ben tre can tho,can tho university,truong thpt nguyen trai ben tre,ben tre ben ben tre vietnam,male
9,no_workplaces,no_college,no_school,angiang an giang vietnam angiang an giang vietnam,notknown
10,no_workplaces,hcmute spkt truong thpt phan van dat,no_school,ho chi minh city vietnam tan an long an,notknown
11,no_workplaces,su pham tieng anh english language teaching an giang university su pham tieng anh english language teaching tai dai hoc an giang phong dao tao truong dai hoc an giang2021 present,thcs thpt thoi thuan,can tho can tho,female
12,no_workplaces,no_college,no_school,angiang an giang vietnam angiang an giang vietnam,notknown
13,no_workplaces,dai hoc ton duc thang,thpt chu van an,ho chi minh city vietnam hong ngu,notknown
14,former ban dieu hanh at doi thanh nien xung kich hutech,khoa y dhqg tphcm hutech dai hoc cong nghe tp hcm truong dai hoc khoa hoc tu nhien dai hoc quoc gia tp hcm,truong thpt phan boi chau tp phan thiet,phan thiet,male
15,no_workplaces,no_college,no_school,ho chi minh city vietnam,notknown
16,no_workplaces,no_college,thcs long son,tan chau xa long son 1 vietnam,female
17,lam viec tai cong ty truong tin _ vua qua tang theo yeu cauaugust 15 2022 present works at cty saigon precisionapril 18 2016 present,no_college,no_school,ho chi minh city vietnam binh son quang ngai vietnam,female
18,bi thu doan khoa at mang may tinh va truyen thongnovember 22 2021 present tro giang at truong dai hoc cong nghe thong tin dai hoc quoc gia tp hcmmay 2021 presentdia diem cu cong viec moi 3 uy vien bch doan truong at truong dai hoc cong nghe thong tin dai hoc quoc gia tp hcmjanuary 10 2020 present former pho bi thu doan khoa at mang may tinh va truyen thongjuly 9 2019 november 22 2021 ho chi minh city vietnam former uy vien ban chap hanh doan khoa at mang may tinh va truyen thongapril 2017 july 9 2019 ho chi minh city vietnam,truyen thong va mang may tinh truong dai hoc cong nghe thong tin dai hoc quoc gia tp hcmclass of 2021,truong thpt go denclass of 2016,ho chi minh city vietnam ben luc,male
19,truong tieu hoc a hoa lacaugust 5 2016 present,dai hoc su pham truong dai hoc su pham dai hoc hue,no_school,chaudok an giang vietnam,male
21,works at rmit student ambassadors team s a toctober 19 2020 present,no_college,truong trung hoc pho thong nguyen dinh chieu,my tho my tho,notknown
22,no_workplaces,y khoa truong dai hoc tra vinh2021 present,thpt ninh quoi,bac lieu bac lieu,female
24,no_workplaces,truong dai hoc cong nghe thong tin dai hoc quoc gia thanh pho ho chi minhaugust 12 2019 to present,truong thpt gia dinh thcs thanh my loi,no_places,notknown
25,no_workplaces,no_college,no_school,ho chi minh city vietnam shanghai china,female
26,bac ninh,truong doi,no_school,bac ninh,male
27,no_workplaces,khoa hoc may tinh truong dai hoc cong nghe thong tin dai hoc quoc gia thanh pho ho chi minh2019 2023,thpt thi xa quang tri,ho chi minh city vietnam,male
29,works at binh duong viet namseptember 13 2020 present,no_college,no_school,ap binh duong 1 vietnam khanh hoa khanh hoa vietnam,notknown
30,works at cong ty co phan hai viet havico tp vung tauaugust 3 2020 present,no_college,no_school,ben tre mo cay,male
31,no_workplaces,ba ou open university2019 present,truong thpt hong ngu 2 dong thap,ho chi minh city vietnam hong ngu,notknown
32,cuu hoc sinh at truong thpt vo thi hong ca mau,dai hoc khoa hoc xa hoi va nhan van dai hoc quoc gia tp hcm,no_school,ho chi minh city vietnam ca mau,female
34,no_workplaces,an toan thong tin clc truong dai hoc cong nghe thong tin dai hoc quoc gia thanh pho ho chi minh2019 present,no_school,ho chi minh city vietnam tinh pleiku gia lai vietnam,male
35,tan chau,no_college,thpt tan chau tan chau an giang,tan chau tan chau,female
40,no_workplaces,truong dai hoc khoa hoc tu nhien dai hoc quoc gia tp hcm,truong thpt bui thi xuan da lat,ho chi minh city vietnam da lat,female
41,no_workplaces,cong nghe thong tin truong dai hoc cong nghe thong tin dh quoc gia tphcm,no_school,no_places,male
42,studying at truong dai hoc cong nghe thong tin dai hoc quoc gia tp hcmaugust 14 2018 present hoc sinh at thpt vinh thanh2015 present lien chi hoi truong at mang may tinh va truyen thong,truong dai hoc cong nghe thong tin dai hoc quoc gia thanh pho ho chi minh,thcs thi tran vinh thanhseptember 2012 may 2015 thpt vinh thanh,no_places,female
43,no_workplaces,no_college,truong thpt tanh linh,ho chi minh city vietnam tanh linh binh thuan vietnam,male
45,no_workplaces,cong nghe thong tin truong dai hoc khoa hoc tu nhien dai hoc quoc gia tp hcm,no_school,thang binh quang nam quang nam da nang vietnam,male
46,no_workplaces,truong dai hoc kinh te luat,thpt di an binh duong,ho chi minh city vietnam,female
47,tan chau,dai hoc fpt can tho,tan chau,tan chau tan chau,notknown
48,no_workplaces,truong dai hoc the duc the thao thanh pho ho chi minhnovember 5 2013 present dh the duc the thao tphcm,truong thpt tan chau,angiang an giang vietnam angiang an giang vietnam tan chau,male
49,no_workplaces,truong dai hoc can tho2020 present,thpt tan chau tan chau an giangaugust 2017 present,tan chau angiang an giang vietnam angiang an giang vietnam tan chau,female
50,no_workplaces,dai hoc su pham am nhac truong dai hoc dong thapseptember 8 2020 present,truong thpt thoi laiclass of 2020,can tho,notknown
51,no_workplaces,no_college,no_school,lagi thuin hai vietnam,male
52,works at aeon mall binh duong canaryjanuary 14 2019 present decaler at decal binh duongjanuary 14 2019 present thu dau motarb works at binh duong viet namjanuary 14 2019 present,dai hoc thu dau mot dai hoc binh duong hutech dai hoc cong nghe tp hcm truong dai hoc mo tp hcm tu van tuyen sinh dai hoc fpt can tho,thpt nguyen chi thanh phu tan an giang,thu dau mot angiang an giang vietnam,male
54,giao vien toan at thpt phan boi chau cu jut dak nongbon bu bo dak nong dac lak vietnam,truong dai hoc tay nguyen,truong thpt ban me thuotclass of 1999,buon ma thuot dac lak vietnam thai binh,male
56,no_workplaces,no_college,thpt tra on vinh long,vinh long,male
57,no_workplaces,khoa ky thuat may tinh truong dai hoc cong nghe thong tin dai hoc quoc gia thanh pho ho chi minh,truong thpt ly tu trong2016 present,hoai nhon binh dinh vietnam hoai nhon binh dinh vietnam,male
59,works at tan chau an giang province,no_college,no_school,ho chi minh city vietnam angiang an giang vietnam,notknown
61,works at benh vien da khoa khu vuc tan chauapril 14 2015 present,hiu dai hoc quoc te hong bang,no_school,angiang an giang vietnam,notknown
63,di lam muon,no_college,no_school,bao loc bao loc,notknown
64,no_workplaces,no_college,no_school,ba tri ben tre,female
66,works at nha thuoc fpt long chau,truong cao dang y te dong thap,no_school,soc sa rai dong thap vietnam,female
67,no_workplaces,no_college,thpt lai vung 3,lai vung,male
68,no_workplaces,truong dai hoc kinh te thanh pho ho chi minh,no_school,ho chi minh city vietnam hong ngu,female
69,no_workplaces,bac si rang ham mat truong dai hoc y duoc can tho,truong thpt chuyen nguyen thien thanh,tra vinh tra vinh,male
70,no_workplaces,no_college,thcs long son,tan chau tan chau,male
71,no_workplaces,no_college,thpt duc tri,long thuan dong thap vietnam,male
72,works at mai tuyet mai,no_college,no_school,ho chi minh city vietnam,notknown
73,hong ngu,truong thpt hong ngu 3,no_school,hong ngu,notknown
74,ap long hung xa long thuan huyen hong ngu dong thap,no_college,no_school,hong ngu,notknown
75,hong ngu,ngon ngu trung quoc truong dai hoc dong thap,toi yeu thpt chu van an hong ngu dong thap,hong ngu hong ngu,female
77,architect project manager at saigon vietnam architect project manager at saigon vietnam architect project manager at saigon vietnam architect project manager at saigon vietnam architect project manager at saigon vietnam architect project manager at saigon vietnam,ceo khoa hoc pti dao tao doanh nghiep ceo khoa hoc pti dao tao doanh nghiep,no_school,ho chi minh city vietnam ca mau,male
78,former hoc sinh at thpt thuan hung,truong dai hoc y duoc can tho,thpt thuan hung,can tho can tho,female
79,no_workplaces,no_college,no_school,long xuyen tan chau,male
80,no_workplaces,hs dh su pham da nang,no_school,quang nam quang nam da nang vietnam,female
81,uy vien bch doan khoa cntt at doan khoa lien chi hoi cntt khtn,cong nghe thong tin k17 truong dai hoc khoa hoc tu nhien dai hoc quoc gia thanh pho ho chi minh,thpt thuc hanh su pham can tho thpt thuc hanh su pham can tho,no_places,male
82,no_workplaces,no_college,no_school,ho chi minh city vietnam,notknown
83,worked at binh duong 24h,no_college,thpt tan chau tan chau an giang,angiang an giang vietnam tan chau,male
84,no_workplaces,thu y truong dai hoc nong lam tp hcm,thpt thap muoi dong thap,thap muoi cai be,male
