id,Workplaces,College,School,Places,Gender
1,no workplaces to show,no schools to show,no schools to show,no places to show,female
2,works at esquel group,no schools to show,no schools to show,"biên hòa|angiang, an giang, vietnam",notknown
3,long xuyên,studied quản trị mạng at trường trung cấp công nghệ bách khoa thành phố hồ chí minh,no schools to show,long xuyên|long xuyên,notknown
4,no workplaces to show,no schools to show,no schools to show,thanh hóa|thanh hóa,male
5,"works at binh duong - viet nammay 16, 2020 - present",no schools to show,no schools to show,tân châu,female
6,bến tre|can tho,studied at can tho university,went to trường thpt nguyễn trãi - bến tre,"bến tre|ben, bến tre, vietnam",male
7,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
9,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam|angiang, an giang, vietnam",notknown
10,no workplaces to show,studied at hcmute - spkt|studied at trường thpt phan văn đạt,no schools to show,"ho chi minh city, vietnam|tân an, long an",notknown
11,no workplaces to show,studied sư phạm tiếng anh ( english language teaching ) at an giang university|studies sư phạm tiếng anh ( english language teaching ) tại đại học an giang at phòng đào tạo - trường đại học an giang2021 - present,went to thcs & thpt thới thuận,can tho|can tho,female
12,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam|angiang, an giang, vietnam",notknown
13,no workplaces to show,studied at đại học tôn đức thắng,went to thpt chu van an,"ho chi minh city, vietnam|hồng ngự",notknown
14,former ban điều hành at đội thanh niên xung kích-hutech,"studied at khoa y - đhqg tphcm|studied at hutech - đại học công nghệ tp.hcm|studied at trường đại học khoa học tự nhiên, đại học quốc gia tp.hcm",went to trường thpt phan bội châu tp phan thiết,phan thiet,male
15,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
16,no workplaces to show,no schools to show,went to thcs long sơn,"tân châu|xa long son (1), vietnam",female
17,"làm việc tại công ty trường tín _ vua quà tặng theo yêu cầuaugust 15, 2022 - present|works at cty saigon precisionapril 18, 2016 - present",no schools to show,no schools to show,"ho chi minh city, vietnam|binh son, quảng ngãi, vietnam",female
18,"bí thư đoàn khoa at mạng máy tính và truyền thôngnovember 22, 2021 - present|trợ giảng at trường đại học công nghệ thông tin - đại học quốc gia tp.hcmmay 2021 - presentđịa điểm cũ, công việc mới :3|uỷ viên bch đoàn trường at trường đại học công nghệ thông tin - đại học quốc gia tp.hcmjanuary 10, 2020 - present|former phó bí thư đoàn khoa at mạng máy tính và truyền thôngjuly 9, 2019 - november 22, 2021·ho chi minh city, vietnam|former ủy viên ban chấp hành đoàn khoa at mạng máy tính và truyền thôngapril 2017 - july 9, 2019·ho chi minh city, vietnam",studied truyền thông và mạng máy tính at trường đại học công nghệ thông tin - đại học quốc gia tp.hcmclass of 2021,went to trường thpt gò đenclass of 2016,"ho chi minh city, vietnam|ben luc",male
19,"trường tiểu học a hoà lạcaugust 5, 2016 - present","studied đại học sư phạm at trường đại học sư phạm, đại học huế",no schools to show,"chaudok, an giang, vietnam",male
20,no workplaces to show,no schools to show,no schools to show,no places to show,male
21,"works at rmit student ambassadors team - s.a.toctober 19, 2020 - present",no schools to show,went to trường trung học phổ thông nguyễn đình chiểu,my tho|my tho,notknown
22,no workplaces to show,studies y khoa at trường đại học trà vinh2021 - present,went to thpt ninh quới,bac lieu|bac lieu,female
23,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
24,no workplaces to show,"studies at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minhaugust 12, 2019 to present",went to trường thpt gia định|went to thcs thạnh mỹ lợi,no places to show,notknown
25,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|shanghai, china",female
26,bắc ninh,studied at trường đời,no schools to show,bắc ninh,male
27,no workplaces to show,"studies khoa học máy tính at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh2019 - 2023",went to thpt thị xã quảng trị,"ho chi minh city, vietnam",male
29,"works at binh duong - viet namseptember 13, 2020 - present",no schools to show,no schools to show,"ap binh duong (1), vietnam|khanh hoa, khánh hòa, vietnam",notknown
30,"works at công ty cổ phần hải việt (havico) tp vũng tàuaugust 3, 2020 - present",no schools to show,no schools to show,bến tre|mo cay,male
31,no workplaces to show,studies ba at ou - open university2019 - present,went to trường thpt hồng ngự 2- đồng tháp,"ho chi minh city, vietnam|hồng ngự",notknown
32,cựu học sinh at trường thpt võ thị hồng - cà mau,studied at đại học khoa học xã hội và nhân văn - đại học quốc gia tp. hcm,no schools to show,"ho chi minh city, vietnam|cà mau",female
33,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
34,no workplaces to show,"studies an toàn thông tin (clc) at trường đại học công nghệ thông tin, đại học quốc gia thành phố hồ chí minh2019 - present",no schools to show,"ho chi minh city, vietnam|tinh pleiku, gia lai, vietnam",male
35,tân châu,no schools to show,"went to thpt tân châu, tân châu, an giang",tân châu|tân châu,female
