id,Workplaces,College,School,Places,Gender
8630,no workplaces to show,no schools to show,no schools to show,"angiang, an giang, vietnam",notknown
8631,tân châu,no schools to show,goes to trường thpt tân châu,"tân châu|angiang, an giang, vietnam",female
8632,,,,,
8633,no workplaces to show,no schools to show,no schools to show,hồng ngự,notknown
8634,,,,,
8635,,,,,
8636,,,,,
8637,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|angiang, an giang, vietnam",notknown
8638,no workplaces to show,studies at đại học văn hiến,"went to thpt tân châu, tân châu, an giang",no places to show,notknown
8639,,,,,
8640,,,,,
8641,,,,,
8642,no workplaces to show,no schools to show,no schools to show,"di an|angiang, an giang, vietnam",male
8643,"works at thpt huỳnh thị hưởng, chợ mới, an giang",studied at trường cao đẳng kinh tế - kỹ thuật thành phố hồ chí minh|studied at trường cao đẳng kinh tế - kỹ thuật thành phố hồ chí minh,went to thpt huỳnh thị hưởng,"cho moi, an giang|cho moi, an giang",male
8644,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8645,,,,,
8646,,,,,
8647,,,,,
8648,,,,,
8649,,,,,
8650,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|bến tre",notknown
8651,,,,,
8652,,,,,
8653,no workplaces to show,no schools to show,"goes to thpt tân châu, tân châu, an giang|goes to thpt tân châu, tân châu, an giang",no places to show,female
8654,works at đại học hoa sen,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
8655,no workplaces to show,no schools to show,went to trường thpt trần phú (gia lai),"thanh an, gia lai-cong tum, vietnam|thái bình",notknown
8656,no workplaces to show,no schools to show,went to thcs dương kỳ hiệp,soc trang|soc trang,female
8657,,,,,
8658,long xuyên,no schools to show,no schools to show,"cho moi, an giang|cho moi, an giang",female
8659,,,,,
8660,,,,,
8661,quản lý at adult life skills,studied quản trị kinh doanh at ueh - trường đại học kinh tế tp.hcm,"went to thpt  nguyễn huệ, tuy hòa, phú yên",can tho|tuy hòa,male
8662,,,,,
8663,works at khoa điện - điện tử,studied at trường đại học bách khoa - đh quốc gia tp.hcm,goes to thpt số 2 phù cát,"binh dinh, nghia binh, vietnam|quy nhon",male
8664,,,,,
8665,,,,,
8666,,,,,
8667,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",female
8668,,,,,
8669,,,,,
8670,,,,,
8671,,,,,
8672,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam|soc trang",male
8673,,,,,
8674,,,,,
8675,no workplaces to show,no schools to show,no schools to show,no places to show,male
8676,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8677,,,,,
8678,,,,,
8679,works at fibo capital - fbc|works at fibo capital - fbc,studied financial analysis and investment at foreign trade university of vietnam,no schools to show,"hanoi, vietnam",notknown
8680,no workplaces to show,no schools to show,no schools to show,no places to show,notknown
8681,,,,,
8682,no workplaces to show,no schools to show,"went to thpt nguyễn chí thanh,chợ vàm,phú tân,an giang",no places to show,notknown
8683,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
8684,no workplaces to show,no schools to show,no schools to show,"ho chi minh city, vietnam",notknown
8685,,,,,
